
Interface status
=======================================================================
DN                                                Description           Speed        MTU
---------------------------------------------  -------------------   -----------   --------
topology/pod-1/node-103/sys/phys-[eth1/6]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/7]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/8]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/9]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/10]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/11]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/12]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/13]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/14]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/15]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/16]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/17]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/18]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/19]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/20]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/21]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/22]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/23]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/24]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/25]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/26]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/27]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/28]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/29]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/30]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/31]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/32]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/33]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/34]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/35]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/36]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/37]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/38]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/39]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/40]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/41]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/42]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/43]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/44]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/45]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/46]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/47]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/48]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/49]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/50]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/51]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/52]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/53]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/54]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/55]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/56]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/57]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/58]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/59]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/60]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/61]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/62]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/63]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/64]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/65]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/66]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/67]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/68]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/69]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/70]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/71]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/72]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/73]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/74]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/75]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/76]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/77]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/78]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/79]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/80]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/81]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/82]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/83]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/84]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/85]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/86]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/87]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/88]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/89]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/90]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/91]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/92]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/93]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/94]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/95]                             10G         9000
topology/pod-1/node-103/sys/phys-[eth1/96]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/97]                             inherit         9150
topology/pod-1/node-104/sys/phys-[eth1/98]                             inherit         9150
topology/pod-1/node-104/sys/phys-[eth1/99]                             inherit         9150
topology/pod-1/node-104/sys/phys-[eth1/100]                             inherit         9150
topology/pod-1/node-104/sys/phys-[eth1/101]                             inherit         9150
topology/pod-1/node-104/sys/phys-[eth1/102]                             inherit         9150
topology/pod-1/node-104/sys/phys-[eth1/103]                             inherit         9150
topology/pod-1/node-104/sys/phys-[eth1/104]                             inherit         9150
topology/pod-1/node-104/sys/phys-[eth1/1]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/2]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/3]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/4]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/5]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/6]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/7]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/8]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/9]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/10]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/11]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/12]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/13]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/14]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/15]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/16]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/17]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/18]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/19]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/20]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/21]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/22]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/23]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/24]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/25]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/26]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/27]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/28]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/29]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/30]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/31]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/32]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/33]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/34]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/35]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/36]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/37]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/38]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/39]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/40]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/41]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/42]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/43]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/44]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/45]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/46]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/47]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/48]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/49]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/50]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/51]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/52]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/53]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/54]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/55]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/56]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/57]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/58]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/59]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/60]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/61]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/62]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/63]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/64]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/65]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/66]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/67]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/68]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/69]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/70]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/71]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/72]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/73]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/74]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/75]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/76]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/77]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/78]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/79]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/80]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/81]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/82]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/83]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/84]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/85]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/86]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/87]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/88]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/89]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/90]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/91]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/92]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/93]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/94]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/95]                             10G         9000
topology/pod-1/node-104/sys/phys-[eth1/96]                             10G         9000
topology/pod-1/node-200/sys/phys-[eth1/33]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/34]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/35]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/36]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/1]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/2]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/3]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/4]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/5]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/6]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/7]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/8]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/9]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/10]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/11]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/12]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/13]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/14]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/15]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/16]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/17]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/18]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/19]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/20]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/21]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/22]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/23]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/24]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/25]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/26]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/27]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/28]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/29]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/30]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/31]                             inherit         9150
topology/pod-1/node-200/sys/phys-[eth1/32]                             inherit         9150
topology/pod-1/node-102/sys/phys-[eth1/33]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/34]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/35]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/36]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/37]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/38]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/39]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/40]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/41]                             inherit         9000
topology/pod-1/node-102/sys/phys-[eth1/42]                             inherit         9000
topology/pod-1/node-102/sys/phys-[eth1/43]                             inherit         9000
topology/pod-1/node-102/sys/phys-[eth1/44]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/45]                             1G         9000
topology/pod-1/node-102/sys/phys-[eth1/46]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/47]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/48]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/49]                             inherit         9150
topology/pod-1/node-102/sys/phys-[eth1/50]                             inherit         9150
topology/pod-1/node-102/sys/phys-[eth1/51]                             inherit         9150
topology/pod-1/node-102/sys/phys-[eth1/52]                             inherit         9150
topology/pod-1/node-102/sys/phys-[eth1/53]                             inherit         9150
topology/pod-1/node-102/sys/phys-[eth1/54]                             inherit         9150
topology/pod-1/node-102/sys/phys-[eth1/55]                             inherit         9150
topology/pod-1/node-102/sys/phys-[eth1/56]                             inherit         9150
topology/pod-1/node-102/sys/phys-[eth1/57]                             inherit         9150
topology/pod-1/node-102/sys/phys-[eth1/58]                             inherit         9150
topology/pod-1/node-102/sys/phys-[eth1/59]                             inherit         9150
topology/pod-1/node-102/sys/phys-[eth1/60]                             inherit         9150
topology/pod-1/node-102/sys/phys-[eth1/1]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/2]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/3]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/4]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/5]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/6]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/7]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/8]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/9]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/10]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/11]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/12]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/13]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/14]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/15]                             1G         9000
topology/pod-1/node-102/sys/phys-[eth1/16]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/17]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/18]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/19]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/20]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/21]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/22]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/23]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/24]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/25]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/26]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/27]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/28]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/29]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/30]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/31]                             10G         9000
topology/pod-1/node-102/sys/phys-[eth1/32]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/33]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/34]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/35]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/36]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/37]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/38]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/39]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/40]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/41]                             inherit         9000
topology/pod-1/node-101/sys/phys-[eth1/42]                             inherit         9000
topology/pod-1/node-101/sys/phys-[eth1/43]                             inherit         9000
topology/pod-1/node-101/sys/phys-[eth1/44]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/45]                             1G         9000
topology/pod-1/node-101/sys/phys-[eth1/46]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/47]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/48]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/49]                             inherit         9150
topology/pod-1/node-101/sys/phys-[eth1/50]                             inherit         9150
topology/pod-1/node-101/sys/phys-[eth1/51]                             inherit         9150
topology/pod-1/node-101/sys/phys-[eth1/52]                             inherit         9150
topology/pod-1/node-101/sys/phys-[eth1/53]                             inherit         9150
topology/pod-1/node-101/sys/phys-[eth1/54]                             inherit         9150
topology/pod-1/node-101/sys/phys-[eth1/55]                             inherit         9150
topology/pod-1/node-101/sys/phys-[eth1/56]                             inherit         9150
topology/pod-1/node-101/sys/phys-[eth1/57]                             inherit         9150
topology/pod-1/node-101/sys/phys-[eth1/58]                             inherit         9150
topology/pod-1/node-101/sys/phys-[eth1/59]                             inherit         9150
topology/pod-1/node-101/sys/phys-[eth1/60]                             inherit         9150
topology/pod-1/node-101/sys/phys-[eth1/1]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/2]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/3]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/4]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/5]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/6]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/7]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/8]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/9]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/10]                             1G         9000
topology/pod-1/node-101/sys/phys-[eth1/11]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/12]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/13]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/14]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/15]                             1G         9000
topology/pod-1/node-101/sys/phys-[eth1/16]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/17]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/18]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/19]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/20]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/21]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/22]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/23]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/24]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/25]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/26]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/27]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/28]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/29]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/30]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/31]                             10G         9000
topology/pod-1/node-101/sys/phys-[eth1/32]                             10G         9000
